Reference,Qty,Value,Footprint,Got
"AFF1,AFF2,AFF3,AFF4,AFF5,AFF6",6,7 Segment Display,Display_7Segment:7SegmentLED_LTS6760_LTS6780,
C1,1,30 pF,Capacitor_SMD:C_0805_2012Metric,
"C2,C3,C4,C5,C6,C7,C8,C9,C10",9,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
D1,1,LED,LED_SMD:LED_0805_2012Metric,
"D2,D3,D4,D5,D6,D7",6,4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,
J1,1,Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",
Q2,1,BC548,Package_TO_SOT_THT:TO-92_Inline,
R1,1,330k,Resistor_SMD:R_0805_2012Metric,
"R2,R3,R6,R7,R8",5,10k,Resistor_SMD:R_0805_2012Metric,
R4,1,100k,Resistor_SMD:R_0805_2012Metric,
"R5,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52",45,330R,Resistor_SMD:R_0805_2012Metric,
"SW1,SW2",2,Push Button,Button_Switch_THT:SW_PUSH_6mm,
"U1,U2",2,4060,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,
"U3,U4,U5,U6,U7,U8",6,CD4026BE,Package_DIP:DIP-16_W7.62mm,
U10,1,7400,Package_DIP:DIP-14_W10.16mm,
Y1,1,32.768kHz,Crystal:Crystal_DS10_D1.0mm_L4.3mm_Vertical,
